"tract","pop","pop_den","p_kids","p_seniors","p_female","p_white","some_college","med_hh_inc","p_poverty"
7200,8017,7.93548653157343e-09,4.8521890981664,3.60483971560434,40.3143320444056,55.357365598104,1231,91300,9.20985120574654
7300,5897,6.36793048818308e-09,2.93369509920298,14.2275733423775,41.5295913176191,62.8285568933356,1336,84153,15.8841672378341
7401,5109,1.96966628943734e-08,0.900371892738305,8.08377373262869,44.8620082207868,73.047563123899,1012,69130,9.59091798786455
7402,5479,2.19789704184094e-08,2.6282168278883,3.9788282533309,38.9669647745939,67.0377806169009,1271,48378,18.4157693009673
7500,8019,1.00018642494606e-08,6.49706946003242,3.6787629380222,48.9711934156379,70.9190672153635,1552,62980,15.0392817059484
7600,3955,6.91581698518059e-09,10.9734513274336,10.2654867256637,45.9418457648546,74.968394437421,586,69572,8.41049382716049
7700,5032,4.75468348961623e-09,16.0174880763116,6.57790143084261,46.5818759936407,71.8998410174881,851,110872,6.63336663336663
7800,5704,2.69745812850403e-09,21.9670406732118,13.4467040673212,47.843618513324,70.0911640953717,398,155000,5.90813464235624
7900,5922,8.47850670153461e-09,8.274231678487,14.9611617696724,47.129348193178,74.5525160418778,998,70096,15.0663942798774
8001,6621,1.31448399314207e-08,4.5159341489201,7.02310829179882,44.4645823893672,61.6221114635251,1167,91005,12.702008760006
8002,3496,1.52623404496277e-08,3.14645308924485,14.1304347826087,43.6784897025172,70.6521739130435,879,42480,25.1204819277108
8100,4599,5.55570321436473e-09,3.95738203957382,18.3518156120896,44.2487497282018,64.340073929115,917,76320,24.2903676128432
8200,4143,1.12977676672965e-08,2.84817764904658,18.1028240405503,43.6640115858074,62.8047308713493,901,67500,14.5463390902457
8300,2994,1.2609057890584e-08,1.03540414161657,16.4662658650635,44.3553774215097,75.8183032732131,699,52878,11.8603863097255
8400,4374,1.14318186206331e-08,4.77823502514861,7.88751714677641,44.9702789208962,70.1188843164152,943,49857,12.1973714549228
8500,4377,9.2300085052156e-09,3.2670779072424,23.8748000913868,36.4633310486635,51.1080648846242,1231,32885,27.6961662486564
8600,5151,7.24107776183976e-09,3.08677926616191,5.64938846825859,52.9994175888177,59.3282857697534,367,48750,31.5462085308057
8700,4428,6.04599603143415e-09,12.5564588979223,5.28455284552846,43.4959349593496,55.5781391147245,889,59315,17.5542857142857
8800,4116,4.33911306926049e-09,18.731778425656,7.70165208940719,52.0651117589893,60.1068999028183,601,78929,14.5212896874231
8900,5363,4.18882590784716e-09,16.5765429796756,14.6746224128286,49.4499347380198,50.7551743427186,1009,81098,8.83365200764818
9000,3550,4.32540622239261e-09,12.6760563380282,21.2676056338028,50.112676056338,37.3239436619718,605,48063,23.1668127373649
9100,2766,6.60407588722496e-09,17.7874186550976,20.4266088214027,47.1077368040492,16.5582067968185,423,29418,29.5272727272727
9200,2613,7.91405294164866e-09,2.56410256410256,20.0153080750096,35.7443551473402,48.6414083429009,737,26500,29.0644171779141
9300,2715,2.83331219579817e-10,9.50276243093923,12.5966850828729,35.9484346224678,46.1141804788214,664,67617,18.8198997300424
9400,6278,3.64349413239268e-09,18.9550812360624,15.2277795476266,51.6725071678879,30.6626314112775,1150,49879,19.2537554514618
9500,6448,2.48378949661831e-09,19.5099255583127,13.3219602977667,51.5973945409429,61.9261786600496,1009,91167,12.6163873370577
9600,5632,2.90808899882732e-09,15.6072443181818,17.4360795454545,53.4090909090909,79.1725852272727,1106,85216,5.96745027124774
9701,6136,3.3024941449782e-09,15.8083441981747,15.9387222946545,50.8148631029987,82.0078226857888,1099,94500,4.16188759626413
9702,5837,2.63038581149867e-09,23.6594140825767,12.7291416823711,52.9724173376735,84.3070070241562,970,107917,4.23335054207537
9800,7117,3.68634785375221e-09,20.7812280455248,12.1399466067163,51.9741464100042,80.9329773781087,1629,84299,7.69987354222285
9900,5382,7.94141529697474e-10,13.0806391675957,8.082497212932,52.6198439241917,72.2965440356745,1122,69423,8.60274990709773
10001,4276,1.84757815514845e-09,21.0944808231993,13.1898971000935,56.3143124415341,33.2086061739944,666,61699,12.1875743870507
10002,5000,5.27285736692677e-09,18.3,10,48.74,35.36,844,68579,9.43509615384615
10100,7449,2.96823487443563e-09,19.599946301517,14.1092764129413,50.9330111424352,36.8103101087394,1486,59193,18.5424101015646
10200,4542,1.63188172035062e-09,20.8058124174373,13.8925583443417,51.7173051519155,63.672391017173,708,92714,4.53740593182824
10300,6397,3.85302419541448e-09,19.4309832734094,8.37892762232296,50.5393153040488,41.5038299202751,1364,58321,19.3589336718502
10401,4443,2.74821459993181e-09,16.7679495836147,17.3081251406707,49.0884537474679,18.6585640333108,747,58958,22.5243598459098
10402,4905,2.72667582101888e-09,16.8807339449541,13.4352701325178,45.6065239551478,24.4444444444444,1005,80931,8.57727737973388
